id,name,latitude,longitude,elevation
72270,EL PASO INT.,31.8,-106.4,1206.0
72295,LOS ANGELES,33.93,-118.4,38.0
72315,ASHEVILLE/MUN.,NC.,35.43,-82.53,659.0
72353,OKLAHOMA CITY,35.38,-97.6,395.0
72376,FLAGSTAFF AZ.,35.23,-111.82,2192.0
72405,WASHINGTON,38.85,-77.03,5.0
72411,ROANOKE/MUN. VA.,37.32,-79.97,358.0
72438,INDIANAPOLIS IN/W.C.,39.73,-86.27,246.0
72488,RENO,39.5,-119.78,1344.0
72503,NEW YORK,40.77,-73.9,7.0
72524,CLEVELAND,41.42,-81.87,241.0
72546,DES MOINES/MUN. IA.,41.53,-93.65,294.0
72570,CRAIG-MOFFAT,CO.,40.5,-107.52,1915.0
72617,BURLINGTON/INT. VT.,44.47,-73.15,104.0
72681,BOISE/MUN. ID.,43.57,-116.22,871.0
72753,FARGO/HECTOR F. ND.,46.9,-96.8,274.0
72793,SEATTLE,47.45,-122.3,130.0
76548,TAMPICO,22.22,-97.85,9.0
76680,MEXICO CITY,19.4,-99.18,2309.0
78016,BERMUDA NAVAL,32.37,-64.68,6.0
78388,MONT.BAY-SANGSTER,18.5,-77.92,1.0
78479,PUNTA CANA,18.57,-68.37,12.0
78583,BELIZE AIRPORT,17.53,-88.3,5.0
78767,PUERTO LIMON,10.0,-83.05,5.0
78925,LE LAMENTIN,14.6,-61.0,5.0
78970,TRINIDAD PIARCO INT.,10.6,-61.35,17.0
80028,BARRANQUILLA/ER.COR.,10.88,-74.78,14.0
80259,CALI/ALFONSO B.,3.55,-76.38,961.0
81408,GEORGES DE L'OYAPOCK,3.88,-51.8,6.0
82579,TERESINA/INTL.,-5.05,-42.82,86.0
82993,MACEIO,-9.52,-35.78,117.0
83378,BRASILIA/INTL.,-15.87,-47.93,1061.0
83579,ARAXA,-19.57,-46.93,1004.0
83780,SAO PAULO,-23.62,-46.65,802.0
84008,SAN CRISTOBAL,-0.9,-89.6,6.0
84401,PIURA,-5.18,-80.6,49.0
85201,LA PAZ/ALTO,-16.52,-68.18,4058.0
85442,ANTOFAGASTA,-23.43,-70.43,135.0
85682,CONCEPCION,-36.77,-73.07,12.0
86218,ASUNCION,-25.27,-57.63,101.0
87289,PASO DE LOS LIBRES,-29.68,-57.15,69.0
87509,SAN RAFAEL AERO,-34.58,-68.4,745.0
87750,BAHIA BLANCA,-38.73,-62.17,75.0
87938,USHUAIA,-54.8,-68.32,16.0
89004,SANAE-AWS,-71.67,-2.83,815.0
89059,BERNARDO O'HIGGINS,-63.32,-57.9,10.0
89564,MAWSON,-67.6,62.88,10.0
89642,DUMONT D'URVILLE,-66.67,140.02,41.0
91285,HILO/GEN.,LYMAN.,19.72,-155.07,9.0
91568,ANEITYUM,-20.23,169.77,6.0
91843,RAROTONGA,-21.2,-159.82,7.0
93110,AUCKLAND AERO,-37.02,174.82,7.0
93781,CHRISTCHURCH AERO,-43.48,172.53,38.0
94131,TINDAL,-14.52,132.38,135.0
94294,TOWNSVILLE,-19.25,146.77,5.0
94346,LONGREACH AIRPORT,-23.43,144.28,192.0
94578,BRISBANE,-27.38,153.1,4.0
94653,CEDUNA (AIRPORT M.O.,-32.13,133.7,15.0
94767,SYDNEY AIRPORT,-33.95,151.18,6.0
94828,PORTLAND,-38.32,141.47,82.0
94975,HOBART,-42.83,147.48,4.0
95492,THAGOMINDAH,-27.98,143.82,132.0
96163,PADANG/TABING,-0.88,100.35,3.0
96491,SANDAKAN,5.9,118.07,12.0
96995,CHRISTMAS ISLAND,-10.45,105.68,279.0
97230,DENPASAR-NGURAHRAI,-8.75,115.17,1.0
98425,MANILA,14.58,120.98,13.0
98618,PUERTO PRINCESA,9.75,118.73,14.0
25913,MAGADAN,59.55,150.78,132.0
28411,IZHEVSK,56.83,53.45,131.0
34267,DANILOVKA,50.37,44.12,102.0
35138,ORSK (SOUTH APT),51.07,58.6,285.0
36003,PAVLODAR,52.3,76.93,131.0
36859,PANFILOV,44.17,80.07,136.0
37514,AKHALTSIKHE,41.65,43.0,139.0
37621,BOLNISI,41.45,44.57,134.0
37711,IDZHEVAN,40.87,45.15,136.0
37756,MARAZA,40.53,48.93,134.0
37897,SISIAN,39.5,46.03,134.0
38141,ZHASLYK,43.88,57.88,133.0
38343,KULAN,42.95,72.75,125.0
38396,URGENCH,41.58,60.65,131.0
38579,DZHIZAK,40.12,67.83,134.0
38613,DZHALAL-ABAD,40.92,72.95,136.0
38683,BUHARA (BUKHARA),39.78,64.48,130.0
38750,ESENGULY,37.47,53.97,159.0
38856,DARVAZ,38.47,70.78,129.0
38933,KURGAN-TYUBE,37.82,68.78,139.0
40608,MOSUL,36.32,43.15,223.0
41947,KHULNA,22.78,89.53,4.0
48618,KUALA TRENGGANU,5.38,103.1,6.0
65510,BOBO DIOULASSO,11.17,-4.33,461.0
72401,RICHMOND (BYRD AIRPO,37.52,-77.32,51.0
78990,FLAMINGO,BONAIRE,12.15,-68.28,6.0
83095,ARACAJÚ,-10.98,-37.07,8.0
83460,PORTO SEGURO,-16.43,-39.08,51.0
83649,VITÓRIA,-20.25,-40.28,3.0
83755,SANTOS DUMONT,-22.92,-43.17,3.0
83905,JOINVILLE,-26.22,-48.8,5.0
85244,SANTA CRUZ- VIRU,-17.65,-63.13,373.0
91592,NOUMEA,-22.27,166.45,69.0
01194,NARVIK,68.47,17.5,17.0
02096,PAJALA,67.2,23.38,165.0
02293,SKELLEFTEHAMN,64.63,21.08,46.0
02912,VAASA,63.1,21.58,4.0
04048,VESTMANNAEYJAR,63.4,-20.28,118.0
08513,PONTA DELGADA,37.75,-25.67,35.0
28642,CELJABINSK-BLANDINO,55.3,61.53,230.0
29846,NOVOKUZNETSK,53.82,86.88,308.0
34172,SARATOW,51.55,46.03,111.0
36985,KARAKOLKA,41.48,77.4,3080.0
37272,TKVARCHELI,42.83,41.67,266.0
37437,DUSHETI,42.08,44.7,128.0
37651,SHIRAKI,41.42,46.25,801.0
37747,YEVLAKH,40.63,47.15,133.0
37895,STEPANAKERT,39.82,46.75,131.0
38232,AK-KUDUK,42.97,54.1,129.0
40039,RAQQA,35.93,39.02,245.0
40415,DAMMAM (KING FAHD IN,26.43,49.8,13.0
40689,BASRAH,30.57,47.78,2.0
40914,BAGHLAN,36.08,68.65,550.0
40990,KANDAHAR,31.5,65.85,1010.0
41404,SANA'A,15.52,44.18,2206.0
41494,SOCOTRA,12.63,53.9,47.0
42475,ALLAHABAD/BAMHRAULI,25.45,81.73,97.0
47110,SEOUL AIRPORT,37.55,126.8,18.0
47182,CHEJU INT'L AIRPORT,33.52,126.5,36.0
47595,FUKUSHIMA,37.75,140.47,69.0
47618,MATSUMOTO,36.25,137.97,610.0
47671,TOKYO INTERNATIONAL,35.55,139.77,6.0
47759,KYOTO,35.02,135.73,41.0
47808,FUKUOKA AIRPORT,33.58,130.45,9.0
47930,NAHA,26.18,127.65,3.0
48632,CAMERON HIGHLANDS,4.47,101.37,1545.0
48966,SIEMREAP,13.37,103.85,15.0
57036,XI'AN,34.3,108.93,398.0
58367,SHANGHAI,31.4,121.47,8.0
61226,GAO,16.27,-0.05,265.0
61984,SAINT-PIERRE,-21.33,55.48,52.0
62460,SHARM EL SHEIKH,27.97,34.38,49.0
62810,KADUGLI,11.0,29.72,499.0
63023,MASSAWA,15.62,39.45,10.0
63451,HARAR MEDA,8.73,38.95,1900.0
64950,YAOUNDE/NSIMALEN,3.83,11.52,751.0
67561,NDOLA,-13.0,28.65,1269.0
68104,WALVIS BAY,-22.88,14.43,7.0
68476,LADYSMITH,-28.57,29.77,1100.0
70272,ANCHORAGE ELMENDORF,61.25,-149.8,65.0
71716,BATHURST,46.9,-71.5,168.0
71863,REGINA SASK.,50.43,-104.67,577.0
71957,INUVIK,68.3,-133.48,59.0
72237,FORT MYERS,26.53,-81.75,9.0
72340,NORTH LITTLE ROCK,34.83,-92.25,165.0
72469,DENVER,39.75,-104.87,1625.0
72512,NIAGARA FALLS,43.1,-78.95,180.0
72568,JACKSON HOLE,43.6,-110.73,1964.0
72775,GREAT FALLS MT.,47.48,-111.37,1118.0
76595,CANCUN,21.02,-86.85,10.0
78229,VARADERO,23.13,-81.28,3.0
78337,TRINIDAD,21.78,-79.98,54.0
78409,CAP-HAITIEN,19.75,-72.18,2.0
78475,LA ROMANA,18.42,-68.93,8.0
78662,SAN SALVADOR,13.72,-89.2,698.0
78792,PANAMA TOCUMEN APT,9.05,-79.37,45.0
78954,GRANTLEY ADAMS,13.07,-59.48,50.0
80421,MARGARITA INTL.,10.92,-63.97,24.0
82240,PARINTINS,-2.62,-56.73,29.0
82353,ALTAMIRA,-3.22,-52.22,74.0
82425,COARI,-4.08,-63.15,46.0
82567,CARAJAS,-6.12,-50.0,621.0
82640,JACAREACANGA,-6.23,-57.78,98.0
82900,RECIFE CURADO,-8.05,-34.92,7.0
82986,PAULO AFONSO,-9.4,-38.22,253.0
83344,VITÓRIA DA CONQUISTA,-14.88,-40.8,875.0
83531,PATOS DE MINAS,-18.52,-46.43,940.0
83618,TRÊS LAGOAS,-20.78,-51.7,313.0
83672,ARAÇATUBA,-21.2,-50.43,397.0
83719,CABO FRIO,-22.98,-42.03,7.0
83773,AVARE,-23.1,-48.92,793.0
83828,TOLEDO,-24.68,-53.7,562.0
83891,LAGES,-27.8,-50.33,937.0
83968,PORTO ALEGRE CANOAS,-29.95,-51.15,8.0
85972,KAP HOORN,-56.6,-68.72,42.0
86645,SORRISO,-12.55,-55.72,380.0
87839,FARO PUNTA DELGADA,-42.77,-63.63,56.0
89542,MOLODEZNAYA,-67.67,45.85,40.0
91530,NAURU INT.,-0.53,166.92,6.0
91961,PITCAIRN ISLAND,-25.07,-130.1,264.0
93780,CHRISTCHURCH,-43.48,172.55,38.0
94463,CURTIN SPRINGS,-25.32,131.75,488.0
94791,COFFS HARBOUR,-30.32,153.12,6.0
96747,JAKARTA HALIM P.,-6.25,106.9,30.0
98748,CAGAYAN DE ORO,8.48,124.63,5.0
F9402,CASCAVEL,-25.0,-53.5,754.0
F9406,BONITO,-21.38,-56.77,360.0
F9410,JI-PARANÁ,-10.87,-61.85,182.0
F9414,SÃO JOSÉ D. R. PRETO,-20.82,-49.4,544.0
F9418,TEIXEIRA DE FREITAS,-17.53,-39.68,105.0
F9422,JUIZ DE FORA,-21.52,-43.17,411.0
F9426,CRUZ/ARISTON PESSOA,-2.9,-40.35,73.0
F9430,ARARAQUARA,-21.8,-48.13,711.0
N9609,ABYEI,9.6,28.43,400.0
P0048,TONGARIO NATIONALP.,-39.25,175.5,1500.0
P0052,ARBIL,36.2,44.02,400.0
P0318,HEBER CITY,40.52,-111.42,1670.0
P0322,WESTL. DAVENPORT,37.0,-123.0,0.0
P0337,SAN PEDRO DE MACORIS,18.5,-69.3,5.0
P0342,NATIONALPARK JARAGUA,17.62,-71.42,0.0
P0408,VAIL,39.63,-106.37,2400.0
P0485,LOLENGI,0.15,21.0,380.0
P0517,USINSK,66.0,57.55,78.0
P0565,TIANJIN,39.1,117.17,5.0
P0569,ORLANDO / SANFORD A.,28.77,-81.25,17.0
P0614,CALICUT,11.13,75.95,104.0
W1164,ISLA MARGARITA,11.0,-64.0,0.0
W1724,KAP VERDEN,17.4,-24.48,0.0
W2030,20N30W,20.0,-30.0,0.0
W2617,SDL.TENERIFFA,26.3,-16.73,0.0
W3417,NDL.MADEIRA,34.0,-17.0,0.0
W4346,GEBIET 44,42.87,-45.82,0.0
W4715,GEBIET 46,47.07,-14.7,0.0
W4845,GEBIET 49,48.22,-45.35,0.0
W5244,GEBIET 54,52.42,-44.37,0.0
W5353,GEBIET 55,53.28,-52.83,0.0
W5755,GEBIET 60,57.18,-55.2,0.0
W5825,GEBIET 57,57.93,-24.88,0.0
W6031,PENTL-FARV3,60.47,-31.22,0.0
W6458,DAVISSTR1,64.0,-58.0,0.0
W9853,WINNIPEG-SEE,53.0,-98.0,0.0
E6319,BOTTENSEE-NW,62.8,18.8,0.0
E6602,POSITION M,66.0,2.0,0.0
E7520,BAERENINSEL,74.65,19.72,0.0
S4659,ATLANTIK SUED2,-46.0,-59.0,0.0
F9788,RAYONG/U-TAPAO PATT.,12.68,101.0,18.0
F9758,ERBIL INTL,36.23,43.95,415.0
01028,BJORNOYA,74.52,19.02,16.0
01092,MAKKAUR FYR,70.72,30.07,9.0
01238,FOKSTUA 2,62.12,9.28,973.0
